Number,Icon,Status,Kind,Categories,Findings,Python source
93,hamburger-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-7 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/hamburger_sub32_4eb3fceb_2f4c_4167_ac6b_944c1693b563.py
94,hammer-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-2-1 are 0.403604 apart on centerlines nearest (16, 17)<->(15.7285, 16.7014); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/hammer_sub32_314dcf43_c8b9_4ecf_b0ac_34ec596e757f.py
95,hand-offering-house-eaves-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-1 and p1-r1-6 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-1-1 / path-2-1]: p1-r1-1 and p2-r1-7 have 0.1974 units of ink clearance over 5.742 units; requires 2; review required
internal-spacing [path-1-1 / path-2-1]: p1-r1-6 and p2-r1-7 have -3.8289 units of ink clearance over 2.2469 units; requires 2; review required",icon_set/model/icons/symbol/hand_offering_house_eaves_sub32_227c49b3_453d_41e2_a84e_90a956a04ac0.py
96,hand-over-heat-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-2 and p2-r1-2 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-2 and p3-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/hand_over_heat_sub32_e2391138_4aaf_4587_83d5_f636e7ba5379.py
97,hand-truck-box-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-3 and p3-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: path-4-1 and path-3-1 are 1 apart on centerlines nearest (19, 26)<->(20, 26); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/hand_truck_box_sub32_23e62360_beb2_4bfa_84c6_4545003b32a4.py
98,handshake-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-4 and p4-r1-4 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-2, p3-r1-3, p3-r1-4 and p4-r1-4 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/handshake_sub32_533cf846_1648_4bd0_a7f9_03a05d166f40.py
99,hang-glider-rider-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
holes/pinches: 1 undersized holes; 1 pinches",icon_set/model/icons/symbol/hang_glider_rider_sub32_3bc58e49_3bd9_4b80_9381_7be53c19633b.py
100,happy-face-with-closed-eyes-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 2.61534, 32, 32) does not match the SQUARE envelope (0, 0, 32, 32) (deltas [0.0, 2.6153, 0.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/happy_face_with_closed_eyes_sub32_5ee1d8ff_a85e_4f98_8d10_414df21c0f8a.py
101,head-medical-plus-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (5, 13)<->(11, 13); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/head_medical_plus_content_sub32_348cbff9_1f65_4ac0_894f_5968b56f3054.py
102,head-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/head_sub32_97903c22_da46_4913_b7f3_4e20608ab202.py
103,hedgetrade-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-2-1 are 0.485071 apart on centerlines nearest (5.52941, 15.8824)<->(6, 16); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 0.485071 apart on centerlines nearest (26, 16)<->(26.4706, 16.1176); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/hedgetrade_sub32_05838a60_695a_4d60_8b28_c99ff89ec819.py
104,help-wheel-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-3-1 are 0.398336 apart on centerlines nearest (7.76468, 4.6786)<->(8, 5); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 0.398336 apart on centerlines nearest (24.2353, 4.6786)<->(24, 5); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-5-1 are 0.398336 apart on centerlines nearest (24.2353, 27.3214)<->(24, 27); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-6-1 are 0.398336 apart on centerlines nearest (7.76468, 27.3214)<->(8, 27); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 0.211175 apart on centerlines nearest (12.1152, 10.177)<->(12, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-4-1 are 0.211175 apart on centerlines nearest (19.8848, 10.177)<->(20, 10); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-5-1 are 0.211175 apart on centerlines nearest (19.8848, 21.823)<->(20, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-6-1 are 0.211175 apart on centerlines nearest (12.1152, 21.823)<->(12, 22); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/help_wheel_sub32_32cc640b_fd6f_5d01_b576_fd631edb4656.py
105,hiker-backpack-pole-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-2-1 are 5.84886 apart on centerlines nearest (18.379, 9.65684)<->(16, 15); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
internal-spacing [path-4-1 / path-8-1]: p4-r1-1 and p8-r1-1 have 1.3023 units of ink clearance over 2.2379 units; requires 2; review required",icon_set/model/icons/symbol/hiker_backpack_pole_sub32_4ddc386a_2885_4d7a_9893_72e2a6726f6d.py
106,home-information-content-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-4 and p2-r1-1 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p3-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-2-1 are 5 apart on centerlines nearest (5, 19)<->(5, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/home_information_content_sub32_033bb549_c6d5_42c3_9f67_16786b6cf70e.py
107,horn-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-4 and p2-r1-5 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-8 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-6 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-1-1]: p1-r1-2 and p1-r1-6 have 1 units of ink clearance over 13 units; requires 2; review required",icon_set/model/icons/symbol/horn_sub32_82d50937_0e36_4f84_b67b_aafe2b74a0ce.py
108,horned-bull-head-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-5 and p1-r1-8 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/horned_bull_head_sub32_749c49e8_3491_46dc_9c16_62b4f5a5ab0c.py
109,image-rectangle-sub32,fail,symbol,Grid,"style/grid [p2-r1-3]: radius_x must be a positive integer, got 5.5
style/grid [p2-r1-3]: radius_y must be a positive integer, got 5.5",icon_set/model/icons/symbol/image_rectangle_sub32_d93c23c1_7d97_4a9c_bc47_83e20a5b4ad2.py
110,information-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/information_sub32_13718512_f145_41c1_8a96_ce57c5ff8408.py
111,institution-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-3-1]: parallel straight edges p3-r1-1 and p3-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-1-1 / path-3-1]: p1-r1-2 and p3-r1-3 have 1.0213 units of ink clearance over 5.5 units; requires 2; review required",icon_set/model/icons/symbol/institution_sub32_2ee457ae_4157_4c6d_bafa_66a532de7822.py
112,jet-ski-motion-sub32,fail,symbol,Spacing,"mic [path-3-1]: path-3-1 and path-4-1 are 5.82435 apart on centerlines nearest (5.23077, 23.1538)<->(2, 28); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/jet_ski_motion_sub32_b7fa34ad_e511_4f03_9aa0_b88e31deb2f8.py
113,kayak-with-paddle-sub32,fail,symbol,Other,holes/pinches: 2 undersized holes; 0 pinches,icon_set/model/icons/symbol/kayak_with_paddle_sub32_7a66c4e2_1e93_4712_9eb5_ab0c546777d9.py
114,key-and-padlock-sub32,fail,symbol,Spacing,"mic [path-5-1]: parallel straight edges p5-r1-4 and p7-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-7-1]: parallel straight edges p7-r1-1 and p5-r1-8 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-1 and p4-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/key_and_padlock_sub32_1ac8d6ec_d8d0_4f95_a290_6b9afd057567.py
115,keyhole-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29.0503, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 0.9497, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/keyhole_sub32_94b02a29_f0e3_482a_8b4a_725005a9332e.py
116,loading-bar-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-1 and p2-r1-1 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: path-1-1 and path-2-1 are 6 apart on centerlines nearest (9, 22)<->(9, 16); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/loading_bar_sub32_a1357f44_093c_4bb6_93d6_7521033c44d2.py
117,locker-double-door-sub32,fail,symbol,Spacing,"mic [path-1-1]: parallel straight edges p1-r1-3 and p4-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-4-1]: parallel straight edges p4-r1-1 and p2-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p3-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-1 and p1-r1-6 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/locker_double_door_sub32_c9cc177d_f3e8_4493_be05_e62e1a3a8cff.py
118,low-beam-headlight-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/low_beam_headlight_sub32_f64410b7_3d60_4039_86c2_912cd8f99a51.py
119,man-with-short-hair-and-open-shoulders-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-2-1 are 3 apart on centerlines nearest (16, 16)<->(16, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/man_with_short_hair_and_open_shoulders_sub32_ccad9539_3f9e_4f75_8205_11baacf5298e.py
120,math-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/math_sub32_623f8b25_c15d_42c1_87af_b086cba90fe2.py
121,minimal-bicycle-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-5-1]: parallel straight edges p5-r1-3 and p3-r1-2 are 5 apart on centerlines (ink gap 1); requires at least 8 centerline / 4 ink (midpoint-normal)
internal-spacing [path-3-1 / path-5-1]: p3-r1-2 and p5-r1-3 have 1 units of ink clearance over 2 units; requires 2; review required",icon_set/model/icons/symbol/minimal_bicycle_sub32_6ce17d6f_0a53_4eaa_b433_061d444307dc.py
122,minimal-happy-smiling-face-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/minimal_happy_smiling_face_sub32_b3826549_0cc8_4855_a250_66873df772a9.py
123,molecule-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: path-1-1 and path-6-1 are 0.242641 apart on centerlines nearest (13.1716, 11.8284)<->(13, 12); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-4-1 are 1 apart on centerlines nearest (22, 24)<->(21, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-5-1 are 1.38547 apart on centerlines nearest (24.5144, 20.2864)<->(24, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-3-1]: path-3-1 and path-4-1 are 1 apart on centerlines nearest (10, 24)<->(11, 24); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-3-1]: path-3-1 and path-6-1 are 1.38547 apart on centerlines nearest (7.48555, 20.2864)<->(8, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-4-1]: path-4-1 and path-5-1 are 5.83095 apart on centerlines nearest (21, 24)<->(24, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-4-1]: path-4-1 and path-6-1 are 5.83095 apart on centerlines nearest (11, 24)<->(8, 19); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-5-1]: path-5-1 and path-6-1 are 5 apart on centerlines nearest (18, 12)<->(13, 12); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-5-1 are 0 apart on centerlines nearest (18.2582, 12.3012)<->(18.2582, 12.3012); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/molecule_sub32_14a03156_aefb_4868_8884_03d2980af425.py
124,moon-right-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (5, 0, 27, 32) does not match the VRECT_L envelope (4, 0, 28, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/moon_right_sub32_97ddca27_a201_4081_8fac_1c56fa33848a.py
125,mountain-climber-sub32,fail,symbol,Spacing; Grid,"style/grid [p1-r1-1]: radius_x must be a positive integer, got 2.5
style/grid [p1-r1-1]: radius_y must be a positive integer, got 2.5
style/grid [p1-r1-2]: radius_x must be a positive integer, got 2.5
style/grid [p1-r1-2]: radius_y must be a positive integer, got 2.5
mic [path-1-1]: path-1-1 and path-5-1 are 5.86748 apart on centerlines nearest (7.89255, 9.42508)<->(6.46948, 15.1174); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
holes/pinches: 1 undersized holes; 0 pinches",icon_set/model/icons/symbol/mountain_climber_sub32_39b5093b_79df_4153_87d0_70e04ba5ac2c.py
126,mountain-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)
mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-5 are 4.47214 apart on centerlines (ink gap 0.472136); requires at least 8 centerline / 4 ink (overlap-fallback)",icon_set/model/icons/symbol/mountain_sub32_1990b78d_fa2b_41f9_81b9_9d3eacf11984.py
127,move-chevrons-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-2-1 are 5.65685 apart on centerlines nearest (21, 7)<->(25, 11); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-1-1]: path-1-1 and path-4-1 are 5.65685 apart on centerlines nearest (11, 7)<->(7, 11); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 5.65685 apart on centerlines nearest (25, 21)<->(21, 25); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-3-1]: path-3-1 and path-4-1 are 5.65685 apart on centerlines nearest (11, 25)<->(7, 21); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/move_chevrons_sub32_0fa6a82e_8f37_4b15_9935_81429bee751d.py
128,movie-camera-reels-sub32,fail,symbol,Spacing,"mic [path-3-1]: parallel straight edges p3-r1-5 and p3-r1-3 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-3-1]: parallel straight edges p3-r1-5 and p3-r1-7 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
holes/pinches: 1 undersized holes; 0 pinches
mic [path-1-1]: path-1-1 and path-3-1 are 0 apart on centerlines nearest (8, 14)<->(8, 14); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-2-1]: path-2-1 and path-3-1 are 0 apart on centerlines nearest (24, 14)<->(24, 14); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/movie_camera_reels_sub32_9518f09e_6822_415c_9a66_f43eca8bd8d0.py
129,nagras-sign-sub32,fail,symbol,Other,holes/pinches: 1 undersized holes; 0 pinches,icon_set/model/icons/symbol/nagras_sign_sub32_d29473b3_fd58_4d03_b71d_c51e5c3ecb6c.py
130,nodes-connected-angle-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-4-1]: path-4-1 and path-2-1 are 1.08993e-17 apart on centerlines nearest (19, 6)<->(19, 6); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
mic [path-5-1]: path-5-1 and path-3-1 are 0 apart on centerlines nearest (19, 26)<->(19, 26); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship",icon_set/model/icons/symbol/nodes_connected_angle_sub32_1cca002e_6e10_4b77_a9bd_bdca69594b0c.py
131,not-equal-interface-essential-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (3, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [1.0, 0.0, 1.0, 0.0], tolerance 0.0)
mic [path-2-1]: parallel straight edges p2-r1-1 and p1-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-2-1]: parallel straight edges p2-r1-1 and p3-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/not_equal_interface_essential_sub32_bda617e4_9a2d_4960_ad51_778fd8967c24.py
132,obelisk-on-plinth-sub32,fail,symbol,Spacing,"mic [path-1-1]: path-1-1 and path-3-1 are 5.48905 apart on centerlines nearest (14.5568, 8.82521)<->(20.0096, 8.19603); SUB32 requires at least 6 (ink clearance 2) unless the contact is declared with a scoped `connect` relationship
holes/pinches: 1 undersized holes; 0 pinches
internal-spacing [path-3-1]: p3-r1-1 and p3-r1-3 have 0.7945 units of ink clearance over 4.6035 units; requires 2; review required",icon_set/model/icons/symbol/obelisk_on_plinth_sub32_58e11e3e_2b0c_402a_935d_87f070933827.py
133,om-symbol-content-sub32,fail,symbol,Grid,"style/grid [p1-r1-1]: radius_x must be a positive integer, got 8.246211251235321
style/grid [p1-r1-1]: radius_y must be a positive integer, got 6.18465843842649",icon_set/model/icons/symbol/om_symbol_content_sub32_4fbbd7ce_d884_4bf7_bd73_518bcdb43d35.py
134,pacman-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (2, 0, 29, 32) does not match the VRECT_XL envelope (2, 0, 30, 32) (deltas [0.0, 0.0, 1.0, 0.0], tolerance 0.0)",icon_set/model/icons/symbol/pacman_sub32_ea992b74_1d7b_5d1a_9380_854e5151b7ed.py
135,paint-bucket-spill-sub32,fail,symbol,Spacing,mic [path-1-1]: parallel straight edges p1-r1-2 and p1-r1-10 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal),icon_set/model/icons/symbol/paint_bucket_spill_sub32_aebdb949_dd90_42b9_8053_6c7b6b0e29e8.py
136,paint-can-drip-sub32,fail,symbol,Spacing; Grid,"style/grid [p6-r1-3]: radius_x must be a positive integer, got 3.5
style/grid [p6-r1-3]: radius_y must be a positive integer, got 3.5
mic [path-1-1]: parallel straight edges p1-r1-3, p1-r1-4 and p6-r1-6 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-6-1]: parallel straight edges p6-r1-6 and p6-r1-4 are 6 apart on centerlines (ink gap 2); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-6-1]: parallel straight edges p6-r1-4 and p6-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-6-1]: parallel straight edges p6-r1-2 and p5-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-2 and p5-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-2 and p6-r1-1 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/paint_can_drip_sub32_0cdb0ad7_55f3_4be1_82d1_3b7d166ba704.py
137,pair-of-test-tubes-2869b113-sub32,fail,symbol,Bounds; Spacing,"canvas/keyshape bounds: visible ink (0, 0, 32, 30.0635) does not match the SQUARE envelope (0, 0, 32, 32) (deltas [0.0, 0.0, 0.0, 1.9365], tolerance 0.0)
mic [path-4-1]: parallel straight edges p4-r1-5, p4-r1-4 and p4-r1-1, p4-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)
mic [path-1-1]: parallel straight edges p1-r1-5, p1-r1-4 and p1-r1-1, p1-r1-2 are 7 apart on centerlines (ink gap 3); requires at least 8 centerline / 4 ink (midpoint-normal)",icon_set/model/icons/symbol/pair_of_test_tubes_2869b113_sub32_2869b113_eb2a_5dcb_a493_ca714b5657f9.py
138,paragraph-normal-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/paragraph_normal_sub32_302ba70a_58d6_4bc5_8483_4e9e8b75df49.py
139,paragraph-sub32,fail,symbol,Bounds,"canvas/keyshape bounds: visible ink (0, 3, 32, 29) does not match the HRECT_XL envelope (0, 2, 32, 30) (deltas [0.0, 1.0, 0.0, 1.0], tolerance 0.0)",icon_set/model/icons/symbol/paragraph_sub32_a023cd36_2b3e_4170_a467_848947816409.py
